19,58,128,214,321,441,570,736,899,1083,
1292,1522,1777,2021,2322,2648,2979,3339,3676,4074,
4513,4925,5322,5828,6287,6807,7296,7858,8437,8985,
9626,10256,10903,11611,12340,13094,13857,14565,15342,16120,
16915,17711,18468,19270,20109,21069,21910,22900,23835,24887,
25784,26734,27741,28825,29790,30752,31903,32927,34104,35174,
36429,37609,38718,39968,41239,42455,43700,44890,46305,47757,
49150,50580,52071,53603,54904,56494,57825,59185,60590,62108,
63731,65375,66892,68538,70241,71833,73606,75336,77039,78687,
80252,82034,83965,85741,87678,89328,91175,93083,95100,96874
